industry_primary,incident_date,discovery_date,attack_vector_primary,data_compromised_records
44-45,2025-03-10,2025-03-26,ransomware,247994
22,2024-02-27,2024-03-01,malware,43179
51,2022-01-08,2022-01-22,data_breach,
44-45,2021-08-03,2021-08-13,supply_chain,
61,2022-05-19,2022-06-20,supply_chain,
52,2025-12-25,2025-12-30,data_breach,
52,2025-12-08,2025-12-17,data_breach,60779
52,2022-11-20,2022-12-02,trojan,
54,2021-12-24,2022-02-22,ransomware,1000
51,2021-12-29,2022-01-31,ransomware,90585
62,2022-08-14,2022-08-26,phishing,6220
23,2023-12-27,2024-01-13,ransomware,57698
51,2025-07-30,2025-08-15,ransomware,98467
51,2024-07-17,2024-09-16,trojan,
44-45,2024-11-26,2024-12-12,phishing,
52,2025-01-21,2025-02-20,phishing,37312
52,2024-03-21,2024-04-09,backdoor,
21,2023-03-03,2023-03-07,phishing,95370
44-45,2024-09-28,2024-10-08,apt,
62,2021-12-10,2021-12-16,malware,33238
54,2021-04-24,2021-05-01,ddos,
62,2022-09-12,2022-11-15,ddos,
52,2024-06-07,2024-06-23,supply_chain,
31-33,2024-07-07,2024-07-19,data_breach,2287272
22,2025-03-06,2025-03-25,phishing,
21,2025-12-18,2025-12-28,supply_chain,
23,2025-04-10,2025-04-13,ddos,
92,2021-10-01,2021-10-12,phishing,137168
62,2024-02-02,2024-02-12,ddos,
31-33,2021-04-09,2021-04-16,supply_chain,
44-45,2025-01-12,2025-01-17,malware,11755018
62,2024-12-31,2025-01-06,ransomware,48882
52,2025-05-29,2025-08-30,phishing,3277189
51,2024-06-27,2024-07-03,ransomware,8332
62,2023-10-17,2023-10-22,ransomware,99672
51,2025-04-18,2025-04-25,phishing,2096498
62,2023-03-18,2023-03-30,apt,1457
61,2021-09-03,2021-09-07,ddos,
51,2022-03-05,2022-03-07,ransomware,7500587
51,2023-11-20,2023-12-20,phishing,2056954
31-33,2023-05-24,2023-05-25,supply_chain,
52,2023-03-10,2023-03-20,phishing,12994
62,2025-02-15,2025-05-17,ransomware,4099
22,2025-06-13,2025-07-13,phishing,192048
62,2022-05-25,2022-05-29,malware,5915
62,2025-09-12,2025-09-18,ddos,
51,2024-06-25,2024-06-28,backdoor,
71,2022-07-02,2022-08-01,ransomware,
44-45,2025-10-22,2025-10-29,ransomware,632434
61,2023-07-03,2023-07-10,ransomware,4644
42,2022-07-15,2022-07-27,ransomware,26007
62,2025-01-30,2025-02-08,backdoor,
51,2021-03-18,2021-06-16,supply_chain,
92,2023-10-01,2024-04-02,supply_chain,
52,2025-06-27,2025-07-14,malware,29748
92,2024-01-14,2024-03-16,data_breach,979705
62,2025-03-02,2025-06-04,apt,24967
92,2025-07-15,2025-08-18,phishing,2143
92,2023-04-30,2023-06-29,phishing,2110373
44-45,2021-10-25,2021-11-10,supply_chain,
31-33,2024-06-01,2024-06-07,phishing,27052
72,2021-09-02,2021-10-05,phishing,4471
72,2024-05-01,2024-06-01,data_breach,53930
48-49,2024-04-11,2024-04-13,apt,17013
71,2024-06-07,2024-06-17,data_breach,
62,2022-05-16,2022-05-28,phishing,12095
51,2023-04-22,2023-06-26,phishing,15849
31-33,2022-11-06,2022-11-09,ransomware,
62,2023-12-12,2024-02-13,malware,
51,2023-08-08,2024-02-04,data_breach,388151
62,2023-08-23,2023-11-26,phishing,116719
31-33,2023-01-29,2023-02-12,malware,865968
52,2022-01-19,2022-02-21,ransomware,727216
71,2024-04-24,2024-05-25,ddos,
52,2024-12-25,2025-01-04,ransomware,5817
62,2023-04-12,2023-05-14,ransomware,395948
72,2025-01-12,2025-03-14,ddos,
61,2022-05-28,2022-06-05,ransomware,36699
44-45,2023-07-11,2023-08-10,backdoor,
61,2021-10-28,2021-11-02,ransomware,3480
54,2021-06-26,2021-06-30,ransomware,93306
92,2025-12-20,2026-01-21,malware,49282
48-49,2025-07-05,2025-07-20,phishing,276983
52,2024-12-11,2024-12-28,phishing,5537
51,2023-03-27,2023-03-29,supply_chain,
54,2021-10-16,2021-12-19,ransomware,
62,2021-06-08,2021-06-18,ransomware,
44-45,2022-07-15,2022-10-14,ransomware,27696
42,2024-04-27,2024-05-04,trojan,24495
62,2025-10-18,2025-10-25,apt,36780
51,2024-08-31,2024-10-02,apt,2495
51,2024-10-30,2024-11-13,ransomware,5700
31-33,2025-06-08,2025-07-12,backdoor,
23,2025-10-13,2025-10-28,ransomware,30091
62,2021-06-21,2021-07-03,ransomware,232826
62,2025-05-12,2025-11-13,ransomware,9179
61,2022-02-02,2022-02-08,data_breach,38085
51,2025-09-17,2025-09-29,ddos,
52,2021-03-26,2021-05-30,phishing,
31-33,2022-08-17,2022-08-31,phishing,1049
52,2021-02-04,2021-02-06,apt,6942211
62,2025-09-30,2025-11-04,phishing,142906
31-33,2025-03-31,2025-09-28,phishing,4842639
48-49,2025-04-30,2025-07-30,apt,8440
52,2025-02-21,2025-03-05,malware,185823
92,2025-05-08,2025-05-16,ransomware,58025
62,2023-07-26,2023-08-02,supply_chain,
21,2024-09-22,2024-09-30,ransomware,1911
52,2025-05-10,2025-05-14,ransomware,57211
21,2024-07-22,2024-10-25,data_breach,41788703
31-33,2024-06-28,2024-07-28,apt,1339119
51,2025-06-27,2025-07-27,supply_chain,
52,2022-04-06,2022-04-18,data_breach,31557
23,2022-05-08,2022-05-18,ransomware,11483
22,2025-02-14,2025-02-15,phishing,270879
92,2022-06-11,2022-06-25,ransomware,3816
44-45,2023-03-30,2023-04-08,apt,317888
62,2021-03-01,2021-09-01,malware,11588972
23,2021-06-11,2021-06-14,malware,
52,2021-03-15,2021-03-26,ransomware,53769
31-33,2025-08-21,2025-09-06,apt,14001
52,2021-08-10,2021-08-12,apt,1000
48-49,2024-06-23,2024-06-30,malware,4199
56,2024-03-12,2024-09-13,trojan,73591
52,2021-05-21,2021-06-21,malware,106548
92,2021-02-10,2021-05-14,ddos,
51,2023-10-31,2023-11-02,ransomware,1227
44-45,2023-08-12,2023-11-14,ransomware,8236
48-49,2022-06-16,2022-07-21,ddos,
62,2025-10-27,2025-11-26,phishing,
21,2021-01-01,2021-01-16,ransomware,60358
22,2021-03-28,2021-09-29,ransomware,
62,2023-01-03,2023-03-08,ransomware,2232686
31-33,2021-01-09,2021-01-27,supply_chain,
31-33,2022-05-10,2022-05-24,data_breach,1000
54,2023-05-13,2023-05-15,data_breach,911104
51,2024-01-06,2024-01-11,malware,389547
61,2021-09-08,2021-09-18,data_breach,5803
51,2021-08-15,2021-08-18,malware,
52,2025-02-03,2025-03-09,ransomware,4447
31-33,2023-07-09,2023-07-17,supply_chain,
52,2021-03-31,2021-04-09,data_breach,94805
61,2021-12-16,2022-01-04,malware,199540
31-33,2025-10-15,2025-11-19,ransomware,15095
21,2022-10-06,2022-10-09,phishing,15738
62,2024-03-15,2024-03-24,ransomware,11306
62,2022-06-07,2022-06-15,ransomware,191560
52,2025-12-01,2026-01-05,trojan,
44-45,2025-08-15,2025-08-16,phishing,
62,2025-08-25,2025-09-27,phishing,518026
51,2025-05-30,2025-06-07,data_breach,
52,2022-11-23,2022-11-29,phishing,120370
52,2023-01-18,2023-01-28,ransomware,35100
22,2024-12-07,2025-03-10,data_breach,16816
62,2022-07-02,2022-09-30,apt,69000
61,2022-01-19,2022-01-27,ransomware,3024
31-33,2022-11-16,2022-11-26,ransomware,15121
52,2025-09-03,2025-09-09,ransomware,27576
51,2024-11-01,2024-11-11,ransomware,2964
62,2025-06-12,2025-07-17,data_breach,
51,2025-12-06,2026-01-05,malware,24730
62,2025-06-04,2025-09-07,data_breach,247346
52,2024-05-19,2024-05-23,ddos,
22,2024-12-02,2025-01-02,data_breach,585999
61,2025-07-09,2025-07-15,data_breach,18438
31-33,2023-12-12,2024-02-13,ransomware,1781308
21,2025-12-07,2025-12-09,phishing,14632
54,2025-04-05,2025-04-21,phishing,3243
72,2025-03-21,2025-04-07,phishing,3676
44-45,2023-01-03,2023-01-14,apt,39124
62,2021-11-11,2021-11-14,data_breach,554996
62,2021-10-05,2021-11-04,trojan,10558593
62,2024-01-16,2024-07-19,backdoor,
52,2022-05-17,2022-05-26,ransomware,10458
52,2023-05-28,2023-06-11,ransomware,1000
51,2024-03-22,2024-04-03,phishing,13161
81,2024-09-28,2024-10-04,data_breach,1086701
62,2025-01-26,2025-01-27,data_breach,38513
52,2021-08-21,2021-09-24,supply_chain,
31-33,2023-05-11,2023-05-28,ransomware,40017
48-49,2025-02-01,2025-03-06,phishing,602636
44-45,2025-08-09,2025-11-10,ransomware,
42,2025-05-28,2025-05-29,malware,20109
62,2021-04-21,2021-04-27,malware,1000
21,2025-01-02,2025-07-02,supply_chain,
31-33,2023-04-21,2023-04-23,backdoor,
31-33,2022-11-21,2022-11-22,ddos,
44-45,2025-03-12,2025-03-15,apt,233824
62,2023-02-27,2023-03-07,data_breach,68179
62,2022-04-17,2022-05-22,phishing,
92,2025-03-31,2025-04-08,ransomware,124849
22,2022-02-12,2022-02-16,trojan,124466
21,2025-08-19,2025-09-21,supply_chain,
52,2021-11-20,2021-12-01,data_breach,183028
44-45,2023-05-29,2023-06-28,data_breach,2987
52,2021-12-27,2022-01-28,phishing,9913
71,2022-07-12,2022-07-31,trojan,65574
42,2021-09-14,2021-12-16,phishing,1207
62,2024-04-14,2024-07-16,malware,59042
52,2025-01-26,2025-01-28,trojan,142572
81,2024-08-03,2024-08-11,ransomware,2878816
44-45,2023-09-02,2023-09-05,ransomware,201238
56,2024-12-03,2025-06-04,ransomware,7435
31-33,2024-07-11,2024-10-11,backdoor,
52,2022-01-17,2022-01-29,supply_chain,
23,2025-06-26,2025-07-29,data_breach,9585
92,2024-01-06,2024-01-10,ransomware,11039
52,2025-07-30,2025-11-02,phishing,4476651
44-45,2023-07-14,2023-07-15,data_breach,1000
56,2022-12-22,2023-02-24,data_breach,2201668
61,2023-09-30,2023-10-05,ransomware,5940
62,2024-05-20,2024-06-24,ddos,
52,2021-04-13,2021-04-15,data_breach,5376
51,2025-06-05,2025-06-13,data_breach,2679
51,2024-04-06,2024-04-21,apt,9772
31-33,2022-01-15,2022-01-21,data_breach,39880
52,2023-04-01,2023-05-05,malware,11975
21,2023-10-16,2023-11-04,backdoor,
56,2021-02-19,2021-05-23,ransomware,2774
31-33,2025-11-19,2025-11-27,backdoor,
44-45,2025-04-16,2025-06-18,data_breach,1864785
92,2022-04-04,2022-04-08,malware,
52,2023-11-29,2023-12-06,supply_chain,
44-45,2023-11-10,2023-12-15,malware,273265
51,2024-07-16,2024-07-21,ddos,
51,2024-11-13,2024-12-18,phishing,14388
52,2025-03-29,2025-04-16,ddos,
22,2025-12-12,2026-03-17,phishing,19731
54,2023-02-15,2023-03-05,ransomware,1286514
31-33,2022-12-13,2023-03-13,ddos,
51,2023-12-11,2024-02-14,data_breach,26365
31-33,2024-10-15,2024-10-18,ddos,
54,2024-02-01,2024-02-17,trojan,203128
92,2025-01-22,2025-04-26,malware,1000
51,2023-10-18,2023-10-23,malware,21417908
22,2022-10-03,2022-11-07,apt,176042
52,2024-08-02,2025-02-01,data_breach,12992879
51,2022-12-03,2023-03-07,phishing,3021
48-49,2024-09-25,2024-10-06,ransomware,67180
44-45,2025-07-01,2025-08-31,apt,33003
52,2022-11-04,2022-12-07,apt,68400
71,2025-01-21,2025-02-05,malware,6975
51,2024-07-05,2024-07-22,phishing,7992
44-45,2022-12-06,2023-01-10,backdoor,
44-45,2025-10-10,2025-10-12,data_breach,83997
22,2023-02-21,2023-02-27,phishing,12141
62,2024-08-23,2024-09-04,ransomware,125669
51,2022-05-08,2022-06-12,malware,1112417
72,2023-03-10,2023-03-16,ransomware,1000
51,2024-01-06,2024-01-21,ransomware,9888
44-45,2025-11-12,2025-11-22,data_breach,5526288
71,2023-06-20,2023-06-23,ransomware,6476
62,2021-04-19,2021-04-19,data_breach,18331
